Lista: gvg 01/02
Canal: 💣 | GvG
Responsável: 👼 Meriove - (meriove)

1. 🍬 Commander | Commander (commander1919) - Microfone desmutado, Audio desmutado
2. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
3. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
4. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
5. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
6. 🍭 BAN_XD | BAN_OwO (ban_0z) - Microfone mutado, Audio desmutado
7. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
8. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
9. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
10. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
11. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
12. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
13. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone mutado, Audio desmutado
14. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
15. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
16. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
17. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
18. 🍭 FORDS | FORDS (marinheiro.) - Microfone mutado, Audio desmutado
19. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone desmutado, Audio desmutado
20. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
21. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
22. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
23. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
24. 🍭 GenGen | Genanatwob (gen0382) - Microfone desmutado, Audio desmutado
25. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
26. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
27. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
28. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
29. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
30. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
31. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
32. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
33. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
34. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
35. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
36. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
