Lista: 02-02
Canal: 💣 | GvG
Responsável: 🍭 Mana_Campbell | Kyzuna_Sayama - (neah.campbell)

1. 🍭 AdrianoJesus | Morte (mito2018) - Microfone mutado, Audio desmutado
2. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
3. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
4. 🍭 BAN_XD | BAN_OwO (ban_0z) - Microfone mutado, Audio desmutado
5. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
6. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone desmutado, Audio desmutado
7. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
9. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
10. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
11. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone desmutado, Audio desmutado
12. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
13. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
14. 🍭 Dxvn | Japoneiz (alszxvn) - Microfone desmutado, Audio desmutado
15. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
16. 🍭 Faellz | Imaginary (faellz) - Microfone mutado, Audio desmutado
17. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone mutado, Audio desmutado
18. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
19. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
20. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone desmutado, Audio desmutado
21. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
22. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
23. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
24. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
25. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
26. 🍭 Heaven | AllElements (in_heaven) - Microfone desmutado, Audio desmutado
27. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
28. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
29. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
30. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
31. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
32. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
33. 🍭 Kmimo | Mimim (kmimo) - Microfone mutado, Audio desmutado
34. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
35. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
36. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
37. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
38. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone mutado, Audio mutado
39. 🍭 Mana_Campbell | Kyzuna_Sayama (neah.campbell) - Microfone desmutado, Audio desmutado
40. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
41. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
42. 🍭 Morke | AceitaQDoiMenos (o_morke) - Microfone mutado, Audio desmutado
43. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
44. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
45. 🍭 Ninon | Ninon (lala.anya) - Microfone mutado, Audio desmutado
46. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
47. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
48. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
49. 🍭 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
50. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
51. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
52. 🍭 Ratored | Ratored (ratored) - Microfone desmutado, Audio desmutado
53. 🍭 Rodi | Aryinn (smkz01) - Microfone desmutado, Audio desmutado
54. 🍭 Rokujo | Rokujo (llrokujoll) - Microfone mutado, Audio desmutado
55. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
56. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone desmutado, Audio desmutado
57. 🍭 Skito | Etheriya (srmuskito) - Microfone mutado, Audio desmutado
58. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
59. 🍭 SwordUnforgiven | NanoMachine (sword0715) - Microfone mutado, Audio desmutado
60. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
61. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone desmutado, Audio desmutado
62. 🍭 Tolern | Dosas (augustoflorise) - Microfone mutado, Audio desmutado
63. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
64. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
65. 🍭 VELT | Duckx (velt3441) - Microfone mutado, Audio desmutado
66. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
67. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
68. 🍭 Volkras | RoyaI (volkras) - Microfone mutado, Audio desmutado
69. 🍭 VoyageSPORT94 | McLahnNovame… (guirabisca) - Microfone mutado, Audio desmutado
70. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
