Lista: GvG 20/01
Canal: 💣 | GvG
Responsável: 🧑🎄 LagSwitch | Manifest - (marsecolor)

1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
5. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
6. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
7. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
8. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
9. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
10. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
11. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
12. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
13. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone desmutado, Audio desmutado
14. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
15. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
16. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
17. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
18. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
19. 🍭 Lord | Awakening (lord._.) - Microfone desmutado, Audio desmutado
20. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
21. 🍭 Magyo | Magyogyogyo (magyo) - Microfone desmutado, Audio desmutado
22. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
23. 🍭 MichelKings | MiichellKings (michel5356) - Microfone desmutado, Audio desmutado
24. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone desmutado, Audio desmutado
25. 🍭 MormaS | MormaS (eomormas) - Microfone desmutado, Audio desmutado
26. 🍭 Neph | MemoryX (nephzada) - Microfone mutado, Audio desmutado
27. 🍭 NtPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
28. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
29. 🍭 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
30. 🍭 Pendorch0 | HydroH115 (pendorcho) - Microfone mutado, Audio desmutado
31. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
32. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
33. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
34. 🍭 Sipher | Siphern (.sipher) - Microfone mutado, Audio desmutado
35. 🍭 Styvel | WaterHashira (styvel) - Microfone mutado, Audio desmutado
36. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
37. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
38. 👼 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
39. 👼 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
40. 👼 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
41. 👼 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone mutado, Audio desmutado
42. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
43. 👼 Ninon (lala.anya) - Microfone desmutado, Audio desmutado
44. 👼 RadiX (.radixx.) - Microfone desmutado, Audio desmutado
45. 👼 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
46. 👼 Vnbz | Bunnit (seaside2) - Microfone mutado, Audio desmutado
47. 👼 Ziccon (ziccon) - Microfone desmutado, Audio desmutado
48. 👼Skito (srmuskito) - Microfone desmutado, Audio desmutado
49. 👼Soaria (sams_z) - Microfone desmutado, Audio desmutado
