Lista: TREINO OBRIGATÓRIO 04/01/2025
Canal: ⚔ATAQUE⚔
Responsável: 🎅 Skito - (srmuskito)

1. 🎅 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
2. 🎅 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
3. 🎅 Meriove FINAL BOSS (meriove) - Microfone desmutado, Audio desmutado
4. 🎅 RadiX | RadiX (.radixx.) - Microfone mutado, Audio desmutado
5. 🎅 Skito (srmuskito) - Microfone desmutado, Audio desmutado
6. 🎅 Soaria (sams_z) - Microfone desmutado, Audio desmutado
7. 🤶 Ninon (lala.anya) - Microfone mutado, Audio desmutado
8. 🧑🎄 AloneInTheDarKK | AsahiMi… (aloneinthedarkk) - Microfone mutado, Audio desmutado
9. 🧑🎄 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
10. 🧑🎄 AquaHoshino | Xiaoying (_vanyar) - Microfone mutado, Audio desmutado
11. 🧑🎄 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
12. 🧑🎄 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
13. 🧑🎄 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
14. 🧑🎄 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
15. 🧑🎄 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
16. 🧑🎄 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
17. 🧑🎄 Cerluzin | CehL (cellu_) - Microfone mutado, Audio desmutado
18. 🧑🎄 ChrimSoNs | WusaEeLambuza (chrimsonschrim) - Microfone mutado, Audio desmutado
19. 🧑🎄 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
20. 🧑🎄 Cuajado | Cuajania (cuajado) - Microfone mutado, Audio desmutado
21. 🧑🎄 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
22. 🧑🎄 DeusTorresmo | BaconDefum… (otodogorduroso) - Microfone mutado, Audio desmutado
23. 🧑🎄 Eternalzerker | Radf (radf) - Microfone mutado, Audio desmutado
24. 🧑🎄 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
25. 🧑🎄 Fenomenoide | calipsoo (fenomenoide) - Microfone mutado, Audio desmutado
