Lista: Reunião
Canal: ⚔ATAQUE⚔
Responsável: 🧑🎄 Mana_Campbell | Kyzuna_Sa… - (neah.campbell)

1. 🎅 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
2. 🎅 Heaven (in_heaven) - Microfone desmutado, Audio desmutado
3. 🎅 Soaria (sams_z) - Microfone desmutado, Audio desmutado
4. 🧑🎄 AloneInTheDarKK | AsahiMi… (aloneinthedarkk) - Microfone mutado, Audio desmutado
5. 🧑🎄 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
6. 🧑🎄 AquaHoshino | Xiaoying (_vanyar) - Microfone mutado, Audio desmutado
7. 🧑🎄 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
8. 🧑🎄 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
9. 🧑🎄 Cerluzin | CehL (cellu_) - Microfone mutado, Audio desmutado
10. 🧑🎄 ChrimSoNs | WusaEeLambuza (chrimsonschrim) - Microfone mutado, Audio desmutado
11. 🧑🎄 Cuajado | Cuajania (cuajado) - Microfone mutado, Audio desmutado
12. 🧑🎄 DeusTorresmo | BaconDefum… (otodogorduroso) - Microfone mutado, Audio desmutado
13. 🧑🎄 Eternalzerker | Radf (radf) - Microfone mutado, Audio desmutado
14. 🧑🎄 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
15. 🧑🎄 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
16. 🧑🎄 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
17. 🧑🎄 Gengen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
18. 🧑🎄 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
19. 🧑🎄 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
20. 🧑🎄 Hammysz | Taigachii (hammysz) - Microfone mutado, Audio desmutado
21. 🧑🎄 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
22. 🧑🎄 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
23. 🧑🎄 Kastanha | Kastanhow (.kastanha) - Microfone mutado, Audio desmutado
24. 🧑🎄 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
25. 🧑🎄 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
26. 🧑🎄 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
27. 🧑🎄 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone desmutado, Audio desmutado
28. 🧑🎄 Massudao | MassudaoSocaFo… (massudao) - Microfone mutado, Audio desmutado
29. 🧑🎄 MichelKings | MiichellKin… (michel5356) - Microfone mutado, Audio desmutado
30. 🧑🎄 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
31. 🧑🎄 Neph | MemoryX (nephzada) - Microfone mutado, Audio desmutado
32. 🧑🎄 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
33. 🧑🎄 NtPelu | ShaiPocket (peludinho) - Microfone mutado, Audio desmutado
34. 🧑🎄 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
35. 🧑🎄 OuttaControl | OuttaContr… (dragonfly255) - Microfone mutado, Audio desmutado
36. 🧑🎄 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
37. 🧑🎄 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
38. 🧑🎄 Pato | Pato (agustin.amsler) - Microfone mutado, Audio desmutado
39. 🧑🎄 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
40. 🧑🎄 Rokujo | Rokujo (llrokujoll) - Microfone mutado, Audio desmutado
41. 🧑🎄 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
42. 🧑🎄 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
43. 🧑🎄 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
44. 🧑🎄 Shammir | Ashimmi (shammir) - Microfone mutado, Audio desmutado
45. 🧑🎄 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
46. 🧑🎄 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
47. 🧑🎄 Tolern | Dosas (augustoflorise) - Microfone mutado, Audio desmutado
48. 🧑🎄 Valkyrie | Void (valkyr1e__) - Microfone mutado, Audio desmutado
49. 🧑🎄 Vestrit | Felisity (vestrit) - Microfone mutado, Audio desmutado
50. 🧑🎄 Xr | Bxx (bxr7330) - Microfone mutado, Audio desmutado
51. 🧑🎄 Zip_Sap | Zip_Sap (zip.zap) - Microfone mutado, Audio desmutado
