Lista: gvg 09-01
Canal: 🔊 | guild-01
Responsável: 🧑🎄 Mana_Campbell | Kyzuna_Sa… - (neah.campbell)

1. 🎅 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
2. 🎅 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
3. 🎅 Kyumi | Sorc001 (kyumi_) - Microfone mutado, Audio desmutado
4. 🎅 Meriove (meriove) - Microfone desmutado, Audio desmutado
5. 🎅 RadiX (.radixx.) - Microfone desmutado, Audio desmutado
6. 🎅 Skito (srmuskito) - Microfone desmutado, Audio desmutado
7. 🎅 Soaria (sams_z) - Microfone desmutado, Audio desmutado
8. 🎅 Vnbz | Bunnit (seaside2) - Microfone desmutado, Audio desmutado
9. 🎅 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
10. 🤶 Ninon (lala.anya) - Microfone mutado, Audio desmutado
11. 🤶 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
12. 🧑🎄 AloneInTheDarKK | AsahiMi… (aloneinthedarkk) - Microfone desmutado, Audio desmutado
13. 🧑🎄 AquaHoshino | Xiaoying (_vanyar) - Microfone desmutado, Audio desmutado
14. 🧑🎄 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
15. 🧑🎄 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
16. 🧑🎄 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
17. 🧑🎄 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
18. 🧑🎄 Bjron | SraYennefer (gynshirako) - Microfone desmutado, Audio desmutado
19. 🧑🎄 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
20. 🧑🎄 Concordia | Eternum (eternun) - Microfone mutado, Audio mutado
21. 🧑🎄 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
22. 🧑🎄 Dhuy | AdmiralKunkka (dhuy) - Microfone desmutado, Audio desmutado
23. 🧑🎄 Digas | ComQuemAndas (digas5091) - Microfone desmutado, Audio desmutado
24. 🧑🎄 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
25. 🧑🎄 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio mutado
26. 🧑🎄 Gengen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
27. 🧑🎄 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
28. 🧑🎄 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
29. 🧑🎄 Goushin | Vickhy (goushin) - Microfone mutado, Audio desmutado
30. 🧑🎄 Hammysz | Taigachii (hammysz) - Microfone mutado, Audio desmutado
31. 🧑🎄 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
32. 🧑🎄 Jazzsz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
33. 🧑🎄 Kastanha | Kastanhow (.kastanha) - Microfone mutado, Audio desmutado
34. 🧑🎄 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
35. 🧑🎄 Konter | KINGKONTER (.konter) - Microfone mutado, Audio desmutado
36. 🧑🎄 Lemrok | Kormel (_kormel) - Microfone desmutado, Audio desmutado
37. 🧑🎄 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
38. 🧑🎄 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone desmutado, Audio desmutado
39. 🧑🎄 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
40. 🧑🎄 MichelKings | MiichellKin… (michel5356) - Microfone desmutado, Audio desmutado
41. 🧑🎄 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
42. 🧑🎄 MormaS | MormaS (eomormas) - Microfone desmutado, Audio desmutado
43. 🧑🎄 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
44. 🧑🎄 NtPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
45. 🧑🎄 OPeres | ProjectPCD (mperes) - Microfone desmutado, Audio desmutado
46. 🧑🎄 Pato | Pato (agustin.amsler) - Microfone mutado, Audio desmutado
47. 🧑🎄 Qwertluk | Qwertluk (qwertluk) - Microfone desmutado, Audio desmutado
48. 🧑🎄 RAULBIGODE | Zels (zels_) - Microfone mutado, Audio mutado
49. 🧑🎄 Santox | AnjoYdaYvida (anjoydayvida) - Microfone desmutado, Audio desmutado
50. 🧑🎄 Shammir | Ashimmi (shammir) - Microfone mutado, Audio desmutado
51. 🧑🎄 Tarshizu | Tarcisio (tarcisio2758) - Microfone desmutado, Audio desmutado
52. 🧑🎄 Tulatias | RebertaDragonic (tulatias) - Microfone desmutado, Audio desmutado
53. 🧑🎄 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
54. 🧑🎄 Venie | MeninaMagica (venie) - Microfone mutado, Audio desmutado
55. 🧑🎄 WRX | WRX (thuggzin) - Microfone mutado, Audio desmutado
