1. 🧑🎄 CirocaPolossal | Contempt (sabonetecompelo) - Desmutado, Audio desmutado
2. 🧑🎄 NtPelu | ShaiPocket (peludinho) - Microfone mutado, Audio desmutado
3. 🧑🎄 HalkenZ | AldebaranDiTouro (ed.9780) - Desmutado, Audio desmutado
4. 🧑🎄 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
5. 🧑🎄 MormaS | MormaS (eomormas) - Desmutado, Audio desmutado
6. 🧑🎄 AloneInTheDarKK | AsahiMi… (aloneinthedarkk) - Microfone mutado, Audio desmutado
7. 🎅 Soaria (sams_z) - Desmutado, Audio desmutado
8. 🧑🎄 Scribblenauts | YUwUY (scribblenauts) - Desmutado, Audio desmutado
9. 🧑🎄 Qwertluk | Qwertluk (qwertluk) - Desmutado, Audio desmutado
10. 🧑🎄 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
11. 🧑🎄 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
12. 🧑🎄 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
13. 🧑🎄 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
14. 🎅 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
15. 🧑🎄 PKD | LittleBrick1 (jantaresx) - Desmutado, Audio desmutado
16. 🧑🎄 Gengen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
17. 🧑🎄 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
18. 🧑🎄 Goushin | Vickhy (goushin) - Microfone mutado, Audio desmutado
19. 🎅 Fberg (fortesfberg) - Desmutado, Audio desmutado
20. 🧑🎄 Luffy | Davi (d.a.v.i.) - Desmutado, Audio desmutado
21. 🧑🎄 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
22. 🧑🎄 OuttaControl | OuttaContr… (dragonfly255) - Microfone mutado, Audio desmutado
23. 🧑🎄 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
24. 🧑🎄 Eternalzerker | Radf (radf) - Microfone mutado, Audio desmutado
25. 🎅 Skito (srmuskito) - Desmutado, Audio desmutado
26. 🧑🎄 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
27. 🧑🎄 BOMBADA0 | BOMBAR (bomba3088) - Microfone mutado, Audio desmutado
28. 🧑🎄 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
29. 🧑🎄 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
30. 🧑🎄 Malenia | Mitsuri (mitsurixz) - Desmutado, Audio desmutado
31. 🧑🎄 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
32. 🧑🎄 Pernasdepeixe | FishGrabs (fishlegs) - Microfone mutado, Audio desmutado
33. 🧑🎄 Kastanha | Kastanhow (.kastanha) - Microfone mutado, Audio desmutado
34. 🧑🎄 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
35. 🧑🎄 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
36. 🧑🎄 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
37. 🧑🎄 Santox | AnjoYdaYvida (anjoydayvida) - Desmutado, Audio desmutado
38. 🧑🎄 RAULBIGODE | Zels (zels_) - Microfone mutado, Audio desmutado
39. 🧑🎄 Digas | ComQuemAndas (digas5091) - Desmutado, Audio desmutado
40. 🧑🎄 Rokujo | Rokujo (llrokujoll) - Microfone mutado, Audio desmutado
41. 🧑🎄 Wipe | Confusion (frostezinho) - Microfone mutado, Audio desmutado
42. 🧑🎄 Qviin | IIFaMulanII (qviin) - Microfone mutado, Audio desmutado
43. 🧑🎄 Valkyrie | Void (valkyr1e__) - Desmutado, Audio desmutado
44. 🧑🎄 Zip_Sap | Zip_Sap (zip.zap) - Desmutado, Audio desmutado
45. 🧑🎄 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
