1. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
2. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
3. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
4. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
5. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
6. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
7. 🍭 Banguelito | KunoHa (afo.) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
9. 🍭 Bjron | SraYennefer (gynshirako) - Microfone desmutado, Audio desmutado
10. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
11. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
12. 🍭 Commander | Commander (commander1919) - Microfone desmutado, Audio desmutado
13. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
14. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone mutado, Audio desmutado
15. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
16. 🍭 Digas | ComQuemAndas (digas5091) - Microfone mutado, Audio desmutado
17. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
18. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
19. 🍭 Dxvn | Japoneiz (alszxvn) - Microfone desmutado, Audio desmutado
20. 🍭 Faellz | Imaginary (faellz) - Microfone mutado, Audio desmutado
21. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone desmutado, Audio desmutado
22. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
23. 🍭 GenGem | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
24. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
25. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
26. 🍭 GolGti94 | BIF (bif1903) - Microfone mutado, Audio desmutado
27. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
28. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
29. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
30. 🍭 ILegendary | Dosanim (huszcza) - Microfone mutado, Audio desmutado
31. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
32. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
33. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
34. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
35. 🍭 Juneca | Pitador (juneca) - Microfone mutado, Audio desmutado
36. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
37. 🍭 Kmimo | Mimim (kmimo) - Microfone mutado, Audio mutado
