1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 AquaHoshino | Xiaoying (_vanyar) - Microfone desmutado, Audio desmutado
5. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
6. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
7. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
8. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
9. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
10. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
11. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
12. 🍭 DRKGOD | FafnirDmK (drkgodk) - Microfone mutado, Audio desmutado
13. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
14. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
15. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
16. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
17. 🍭 FORDS | FORDS (marinheiro.) - Microfone mutado, Audio desmutado
18. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
19. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
20. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
21. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
22. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
23. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
24. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
25. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
26. 🍭 Jazzsz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
