Lista: gvg 04/02
Canal: 💣 | GvG
Responsável: 👼 Meriove - (meriove)

1. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone desmutado, Audio desmutado
2. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
3. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
4. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
5. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
6. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
7. 🍭 Banguelito | KunoHa (afo.) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
9. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
10. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
11. 🍭 Commander | Commander (commander1919) - Microfone desmutado, Audio desmutado
12. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
13. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone mutado, Audio desmutado
14. 🍭 Cuajado | Cuajardiana (cuajado) - Microfone mutado, Audio desmutado
15. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
16. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
17. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
18. 🍭 Faellz | Imaginary (faellz) - Microfone mutado, Audio desmutado
19. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
20. 🍭 GatitaTiesa | Super_Shaiffle (princesa_waffle) - Microfone mutado, Audio desmutado
21. 🍭 GenGen | Genanatwob (gen0382) - Microfone desmutado, Audio desmutado
22. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
23. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
24. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
25. 🍭 Heaven | AllElements (in_heaven) - Microfone desmutado, Audio desmutado
26. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
27. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
28. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
29. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
30. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
31. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
32. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
33. 🍭 Kmimo | Mimim (kmimo) - Microfone mutado, Audio desmutado
34. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
35. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
36. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
37. 🍭 Mana_Campbell | Kyzuna_Sayama (neah.campbell) - Microfone desmutado, Audio desmutado
38. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
