Lista: Quantos tem agra?
Canal: ⚔ATAQUE⚔
Responsável: 🍭 Skito | Etheriya - (srmuskito)

1. 🍬 Tripaloska (belzz7709) - Microfone mutado, Audio mutado
2. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
3. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
4. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
5. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
6. 🍭 Artour | Artour (artour6260) - Microfone mutado, Audio desmutado
7. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
8. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
9. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
10. 🍭 Banguelito | KunoHa (afo.) - Microfone mutado, Audio desmutado
11. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
12. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
13. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
14. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
15. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
16. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
17. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
18. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone mutado, Audio desmutado
19. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
20. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
21. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
22. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
23. 🍭 Faellz | Imaginary (faellz) - Microfone mutado, Audio desmutado
24. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone mutado, Audio desmutado
25. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
26. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
27. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
28. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
29. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
30. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
31. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
32. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
33. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
34. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
35. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
36. 🍭 Kmimo | Mimim (kmimo) - Microfone desmutado, Audio desmutado
37. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
38. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
39. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
40. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone desmutado, Audio desmutado
41. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
42. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
43. 🍭 MichelKings | MiichellKings (michel5356) - Microfone mutado, Audio mutado
