Lista: ATAQUE COMEÇO
Canal: ⚔ATAQUE⚔
Responsável: 🍭 Skito | Etheriya - (srmuskito)

1. 🍬 Tripaloska (belzz7709) - Microfone mutado, Audio desmutado
2. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
3. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
4. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
5. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
6. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
7. 🍭 Artour | Artour (artour6260) - Microfone mutado, Audio desmutado
8. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
9. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
10. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
11. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
12. 🍭 Banguelito | KunoHa (afo.) - Microfone mutado, Audio desmutado
13. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
14. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
15. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
16. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
17. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
18. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
19. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
20. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
21. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone mutado, Audio desmutado
22. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
23. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
24. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
25. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
26. 🍭 Faellz | Imaginary (faellz) - Microfone mutado, Audio desmutado
27. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone mutado, Audio desmutado
28. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
29. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
30. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
31. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
32. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
33. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
34. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
35. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
36. 🍭 Hammysz | Hammysz (hammysz) - Microfone mutado, Audio desmutado
37. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
38. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
39. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
40. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
41. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
42. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
43. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
44. 🍭 Kmimo | Mimim (kmimo) - Microfone desmutado, Audio desmutado
45. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
46. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
47. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
48. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
49. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
50. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone desmutado, Audio desmutado
51. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
52. 🍭 Mana_Campbell | Kyzuna_Sayama (neah.campbell) - Microfone mutado, Audio desmutado
53. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
54. 🍭 MichelKings | MiichellKings (michel5356) - Microfone mutado, Audio mutado
55. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
56. 🍭 Milkcup | Mizie (miziee) - Microfone mutado, Audio desmutado
57. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
58. 🍭 Morke | AceitaQDoiMenos (o_morke) - Microfone mutado, Audio desmutado
59. 🍭 MurasakiNova | MurasakiDoll (murasaki2351) - Microfone mutado, Audio desmutado
60. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
61. 🍭 NissanVersa23 | BuffMaeguPlss (diegodono) - Microfone mutado, Audio desmutado
62. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone mutado, Audio desmutado
63. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
64. 🍭 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
65. 🍭 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
66. 🍭 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
67. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
68. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
69. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
70. 🍭 RadiX | RadiX (.radixx.) - Microfone desmutado, Audio desmutado
71. 🍭 Ratored | Ratored (ratored) - Microfone mutado, Audio desmutado
72. 🍭 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
73. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
74. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
75. 🍭 SaveiroSUMMER96 | MuichiroTo… (inlove_html) - Microfone mutado, Audio desmutado
76. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
77. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
78. 🍭 Sheeshium | PANZER_IV (wally02) - Microfone mutado, Audio desmutado
79. 🍭 Skito | Etheriya (srmuskito) - Microfone desmutado, Audio desmutado
80. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
81. 🍭 Stazz | Stazz (.guilhermebuzatto) - Microfone mutado, Audio desmutado
82. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
83. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
84. 🍭 Tolern | Dosas (augustoflorise) - Microfone mutado, Audio desmutado
85. 🍭 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
86. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
87. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
88. 🍭 VELT | Duckx (velt3441) - Microfone mutado, Audio desmutado
89. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio mutado
90. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
91. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
92. 🍭 Volkras | RoyaI (volkras) - Microfone mutado, Audio desmutado
93. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
94. 🍭 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
95. 🍭 kenjutsu | PartyNextD00r (21281) - Microfone mutado, Audio desmutado
96. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
97. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
98. 👼 Vnbz | Bunnit (seaside2) - Microfone desmutado, Audio desmutado
