Lista: gvg 06-02
Canal: ⚔ATAQUE⚔
Responsável: 🍭 Mana_Campbell | Kyzuna_Sayama - (neah.campbell)

1. 🍬 Tripaloska (belzz7709) - Microfone mutado, Audio desmutado
2. 🍭 AdrianoJesus | Morte (mito2018) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
5. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
6. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
7. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
8. 🍭 Artour | Artour (artour6260) - Microfone mutado, Audio desmutado
9. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
10. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
11. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
12. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
13. 🍭 Banguelito | KunoHa (afo.) - Microfone mutado, Audio desmutado
14. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
15. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
16. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
17. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
18. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
19. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
20. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
21. 🍭 Cruciatus | YunoGashai (.cruciatus_yuno) - Microfone mutado, Audio desmutado
22. 🍭 Cuajado | Cuajardiana (cuajado) - Microfone mutado, Audio desmutado
23. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
24. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
25. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
26. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
27. 🍭 Dxvn | Japoneiz (alszxvn) - Microfone mutado, Audio desmutado
28. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
29. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
30. 🍭 Faellz | Imaginary (faellz) - Microfone mutado, Audio desmutado
31. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone mutado, Audio desmutado
32. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone desmutado, Audio desmutado
33. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
34. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
35. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
36. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
37. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
38. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
39. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
40. 🍭 Hammysz | Hammysz (hammysz) - Microfone mutado, Audio desmutado
41. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
42. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
43. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
44. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
45. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
46. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
47. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
48. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
49. 🍭 Kmimo | Mimim (kmimo) - Microfone desmutado, Audio desmutado
50. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
51. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
52. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
