Lista: TREINO LUQUINHAS
Canal: ⚔ATAQUE⚔
Responsável: 🍭 Skito | Etheriya - (srmuskito)

1. TelnerGeox (telnergeox) - Microfone mutado, Audio desmutado
2. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
3. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
4. 🍭 Artini | Shoi (uzuki.tan) - Microfone mutado, Audio desmutado
5. 🍭 Artour | Artour (artour6260) - Microfone mutado, Audio desmutado
6. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
7. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
8. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
9. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
10. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
11. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
12. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
13. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
14. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
15. 🍭 ComunistaDoBDO | ComunaDoBDO (julinha0123) - Microfone mutado, Audio desmutado
16. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
17. 🍭 Dazam | PrioriStatum (scravitz) - Microfone mutado, Audio desmutado
18. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
19. 🍭 DeusTorresmo | SrtaCupCake (otodogorduroso) - Microfone mutado, Audio desmutado
20. 🍭 Digas | ComQuemAndas (digas5091) - Microfone mutado, Audio desmutado
21. 🍭 DmLiant | Confused (dmliant) - Microfone mutado, Audio desmutado
22. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
23. 🍭 FORDS | FORDS (marinheiro.) - Microfone mutado, Audio desmutado
24. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
25. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
26. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
27. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
28. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
29. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
30. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
31. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
32. 🍭 GrandeHatake | Chairizard (raquel_ricardo) - Microfone mutado, Audio desmutado
33. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
34. 🍭 Hammysz | Hammysz (hammysz) - Microfone mutado, Audio desmutado
35. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
36. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
37. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
38. 🍭 Juneca | Pitador (juneca) - Microfone mutado, Audio desmutado
39. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
40. 🍭 Kmimo | Mimim (kmimo) - Microfone mutado, Audio desmutado
41. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
42. 🍭 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
43. 🍭 Lilizinha | LiliRipilica (ayame7309) - Microfone mutado, Audio desmutado
44. 🍭 Lodbrook | VarayAura (adcpcaodejinx) - Microfone mutado, Audio desmutado
45. 🍭 Lord | Mystic (lord._.) - Microfone mutado, Audio desmutado
46. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
47. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone desmutado, Audio desmutado
48. 🍭 Magui | Megaman (varela12) - Microfone mutado, Audio desmutado
49. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
50. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
51. 🍭 Milkcup | Mizie (miziee) - Microfone mutado, Audio desmutado
52. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
53. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
54. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
55. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone mutado, Audio desmutado
56. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
57. 🍭 OCorrupto | RayGuerra (donno.cda) - Microfone mutado, Audio desmutado
58. 🍭 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
59. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
60. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
61. 🍭 Rabbit | Rabbit (rrabbit_) - Microfone mutado, Audio desmutado
62. 🍭 Rabisca | McLahnNovamentte (guirabisca) - Microfone mutado, Audio desmutado
63. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
64. 🍭 SaveiroSUMMER96 | MuichiroTo… (inlove_html) - Microfone mutado, Audio desmutado
65. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
66. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
67. 🍭 Shaoster | Kaween (shaoster) - Microfone mutado, Audio desmutado
68. 🍭 Sheeshium | PANZER_IV (wally02) - Microfone mutado, Audio desmutado
69. 🍭 SkePz | Yskepz (skepzoficial) - Microfone mutado, Audio desmutado
70. 🍭 Skito | Etheriya (srmuskito) - Microfone desmutado, Audio desmutado
71. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
72. 🍭 Stegg | Olyk (rstegg) - Microfone mutado, Audio desmutado
73. 🍭 TOTI | Tahaz (totitaz) - Microfone mutado, Audio desmutado
74. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
