Lista: Treino do XIZO 07/02
Canal: ⚔ATAQUE⚔
Responsável: 👼 Meriove - (meriove)

1. 🍭 AdrianoJesus | Morte (mito2018) - Microfone mutado, Audio desmutado
2. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
3. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
4. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
5. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
6. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
7. 🍭 Artour | Artour (artour6260) - Microfone mutado, Audio desmutado
8. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
9. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
10. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
11. 🍭 Bjron | SraYennefer (gynshirako) - Microfone mutado, Audio desmutado
12. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
13. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
14. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
15. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
16. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
17. 🍭 Cuajado | Cuajardiana (cuajado) - Microfone mutado, Audio desmutado
18. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
19. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
20. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
21. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
22. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
23. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
24. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
25. 🍭 GatitaTiesa | Super_Shaiffle (princesa_waffle) - Microfone mutado, Audio desmutado
26. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
27. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
28. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
29. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
30. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
31. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
32. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
33. 🍭 ILegendary | Dosanim (huszcza) - Microfone mutado, Audio desmutado
34. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
35. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
36. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
37. 🍭 Juneca | Pitador (juneca) - Microfone mutado, Audio desmutado
38. 🍭 Kanghan | Kanghan (gnaknah) - Microfone mutado, Audio desmutado
39. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
40. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
41. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
42. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
43. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
44. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
45. 🍭 Lord | Awakening (lord._.) - Microfone mutado, Audio desmutado
46. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
47. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
48. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
49. 🍭 MichelKings | MiichellKings (michel5356) - Microfone mutado, Audio desmutado
50. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
51. 🍭 Milkcup | Mizie (miziee) - Microfone mutado, Audio desmutado
52. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
53. 🍭 Morke | AceitaQDoiMenos (o_morke) - Microfone mutado, Audio desmutado
54. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
55. 🍭 Ninon | Ninon (lala.anya) - Microfone mutado, Audio desmutado
56. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone mutado, Audio desmutado
57. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
58. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio mutado
59. 🍭 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
60. 🍭 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
61. 🍭 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
62. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
63. 🍭 Pdlul | Nyterian (pdlul) - Microfone mutado, Audio desmutado
64. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
65. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
66. 🍭 RadiX | RadiX (.radixx.) - Microfone mutado, Audio desmutado
67. 🍭 Ratored | Ratored (ratored) - Microfone mutado, Audio desmutado
68. 🍭 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
69. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
70. 🍭 SantanaGLS90 | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
71. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
72. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
73. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
74. 🍭 Skito | Etheriya (srmuskito) - Microfone desmutado, Audio desmutado
75. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
76. 🍭 Stazz | Stazz (.guilhermebuzatto) - Microfone mutado, Audio desmutado
77. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
78. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
79. 🍭 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
80. 🍭 Tripaloska | Tripaloska (belzz7709) - Microfone mutado, Audio desmutado
81. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
82. 🍭 VELT | Duckx (velt3441) - Microfone mutado, Audio desmutado
83. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
84. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
85. 🍭 Volkras | RoyaI (volkras) - Microfone mutado, Audio desmutado
86. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
87. 🍭 XIZO | Pardinho (xizopardinho) - Microfone desmutado, Audio desmutado
88. 🍭 Ziccon | Knotty (ziccon) - Microfone desmutado, Audio desmutado
89. 🍭 Zirii | Argelia (word_0001) - Microfone mutado, Audio desmutado
90. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
91. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
92. 👼 Vnbz | Bunnit (seaside2) - Microfone desmutado, Audio desmutado
93. 👼Miih (chellinha) - Microfone desmutado, Audio desmutado
