Lista: TREINO 07/02 - XIZOGRINDAS
Canal: ⚔ATAQUE⚔
Responsável: 👼 Meriove - (meriove)

1. 🍭 AdrianoJesus | Morte (mito2018) - Microfone mutado, Audio desmutado
2. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
3. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
4. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
5. 🍭 AquaHoshino | Mourningdale (_vanyar) - Microfone mutado, Audio desmutado
6. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
7. 🍭 Artour | Artour (artour6260) - Microfone mutado, Audio desmutado
8. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
9. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
10. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
11. 🍭 Bjron | SraYennefer (gynshirako) - Microfone mutado, Audio desmutado
12. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
13. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
14. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
15. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
16. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
17. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
18. 🍭 Cuajado | Cuajardiana (cuajado) - Microfone mutado, Audio desmutado
19. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
20. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
21. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
22. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
23. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
24. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
25. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
26. 🍭 GatitaTiesa | Super_Shaiffle (princesa_waffle) - Microfone mutado, Audio desmutado
27. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
28. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
29. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
30. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
31. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
32. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
33. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
34. 🍭 ILegendary | Dosanim (huszcza) - Microfone mutado, Audio desmutado
35. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
36. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
37. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
38. 🍭 Juneca | Pitador (juneca) - Microfone mutado, Audio desmutado
39. 🍭 Kanghan | Kanghan (gnaknah) - Microfone mutado, Audio desmutado
40. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
41. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
42. 🍭 Kmimo | Mimim (kmimo) - Microfone desmutado, Audio desmutado
43. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
44. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
45. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
46. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
47. 🍭 Lord | Awakening (lord._.) - Microfone mutado, Audio desmutado
48. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
49. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone desmutado, Audio desmutado
50. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
51. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
52. 🍭 MichelKings | MiichellKings (michel5356) - Microfone mutado, Audio desmutado
53. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
54. 🍭 Milkcup | Mizie (miziee) - Microfone mutado, Audio desmutado
55. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
56. 🍭 Morke | AceitaQDoiMenos (o_morke) - Microfone mutado, Audio desmutado
57. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
58. 🍭 NaiiTz | NlGHTS (naitz_) - Microfone mutado, Audio desmutado
59. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
60. 🍭 Ninon | Ninon (lala.anya) - Microfone mutado, Audio desmutado
61. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone mutado, Audio desmutado
62. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
63. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
64. 🍭 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
65. 🍭 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
66. 🍭 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
67. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
68. 🍭 Pdlul | Nyterian (pdlul) - Microfone mutado, Audio desmutado
69. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
70. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
71. 🍭 RadiX | RadiX (.radixx.) - Microfone mutado, Audio desmutado
72. 🍭 Ratored | Ratored (ratored) - Microfone mutado, Audio desmutado
73. 🍭 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
74. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
75. 🍭 SantanaGLS90 | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
76. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
77. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
78. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
79. 🍭 Skito | Etheriya (srmuskito) - Microfone desmutado, Audio desmutado
80. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
81. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
82. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
83. 🍭 ThePhysicist | ShootDown (galzuu) - Microfone mutado, Audio desmutado
84. 🍭 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
85. 🍭 Tripaloska | Tripaloska (belzz7709) - Microfone mutado, Audio desmutado
86. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
87. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
88. 🍭 VELT | Duckx (velt3441) - Microfone mutado, Audio desmutado
89. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
90. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
91. 🍭 Volkras | RoyaI (volkras) - Microfone mutado, Audio desmutado
92. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
93. 🍭 XIZO | Pardinho (xizopardinho) - Microfone desmutado, Audio desmutado
94. 🍭 Ziccon | Knotty (ziccon) - Microfone desmutado, Audio desmutado
95. 🍭 Zip_Sap | Zip_Sap (zip.zap) - Microfone mutado, Audio desmutado
96. 🍭 Zirii | Argelia (word_0001) - Microfone mutado, Audio desmutado
97. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
98. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
99. 👼 Vnbz | Bunnit (seaside2) - Microfone desmutado, Audio desmutado
100. 👼Miih (chellinha) - Microfone desmutado, Audio desmutado
