Lista: treino
Canal: ⚔ATAQUE⚔
Responsável: 🎅 Soaria - (sams_z)

1. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
2. 🎅 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
3. 🎅 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
4. 🎅 Soaria (sams_z) - Microfone desmutado, Audio desmutado
5. 🤶 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
6. 🧑🎄 AloneInTheDarKK | AsahiMi… (aloneinthedarkk) - Microfone mutado, Audio desmutado
7. 🧑🎄 AquaHoshino | Xiaoying (_vanyar) - Microfone mutado, Audio desmutado
8. 🧑🎄 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
9. 🧑🎄 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
10. 🧑🎄 Bagz | Bagz (gustavo_bagz) - Microfone mutado, Audio desmutado
11. 🧑🎄 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
12. 🧑🎄 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
13. 🧑🎄 Bjron | SraYennefer (gynshirako) - Microfone mutado, Audio desmutado
14. 🧑🎄 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
15. 🧑🎄 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
16. 🧑🎄 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
17. 🧑🎄 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
18. 🧑🎄 Cruciatus | YunoGashai (.patolino_omago) - Microfone mutado, Audio desmutado
19. 🧑🎄 Cuajado | Cuajardiana (cuajado) - Microfone mutado, Audio desmutado
20. 🧑🎄 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
21. 🧑🎄 DeusTorresmo | BaconDefum… (otodogorduroso) - Microfone mutado, Audio desmutado
22. 🧑🎄 Dhuy | AdmiralKunkka (dhuy) - Microfone mutado, Audio desmutado
23. 🧑🎄 Digas | ComQuemAndas (digas5091) - Microfone mutado, Audio desmutado
24. 🧑🎄 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
25. 🧑🎄 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
26. 🧑🎄 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
27. 🧑🎄 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
28. 🧑🎄 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
29. 🧑🎄 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
30. 🧑🎄 Goushin | Vickhy (goushin) - Microfone mutado, Audio desmutado
31. 🧑🎄 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
32. 🧑🎄 Hammysz | Taigachii (hammysz) - Microfone mutado, Audio desmutado
33. 🧑🎄 Hardest10 | Alice10 (_crocksor) - Microfone mutado, Audio desmutado
34. 🧑🎄 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
35. 🧑🎄 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
36. 🧑🎄 Jazzsz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
37. 🧑🎄 Kastanha | Kastanhow (.kastanha) - Microfone mutado, Audio desmutado
38. 🧑🎄 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
39. 🧑🎄 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
40. 🧑🎄 Konter | KINGKONTER (.konter) - Microfone mutado, Audio desmutado
41. 🧑🎄 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
42. 🧑🎄 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
43. 🧑🎄 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
44. 🧑🎄 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
45. 🧑🎄 MichelKings | MiichellKin… (michel5356) - Microfone mutado, Audio desmutado
46. 🧑🎄 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
