Lista: Treino 11/03 - Inicio
Canal: ⚔ATAQUE⚔
Responsável: 👼 Meriove - (meriove)

1. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
2. 🍭 Artini | Shoi (uzuki.tan) - Microfone mutado, Audio desmutado
3. 🍭 Bagz | Bagzin (gustavo_bagz) - Microfone mutado, Audio desmutado
4. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
5. 🍭 Barbatos | Pefla (barbatos_bellcross) - Microfone desmutado, Audio desmutado
6. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
7. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
8. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
9. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
10. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
11. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
12. 🍭 ComunistaDoBDO | ComunaDoBDO (julinha0123) - Microfone mutado, Audio desmutado
13. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
14. 🍭 Demonike | TankDeGuerra (rianxz) - Microfone mutado, Audio desmutado
15. 🍭 Digas | ComQuemAndas (digas5091) - Microfone mutado, Audio desmutado
16. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
17. 🍭 Drachenorden | TenmaX007 (vichnaya) - Microfone mutado, Audio desmutado
18. 🍭 FatalBlair | Alquimista (thagory) - Microfone mutado, Audio desmutado
19. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
20. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
21. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
22. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
