Lista: treino 13/02
Canal: treino quinta
Responsável: 👼 Meriove - (meriove)

1. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
2. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
3. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
4. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
5. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
6. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
7. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
8. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone desmutado, Audio desmutado
9. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
10. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
11. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
12. 🍭 ILegendary | Dosanim (huszcza) - Microfone mutado, Audio desmutado
13. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
14. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
15. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
16. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
17. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
18. 🍭 Lord | Awakening (lord._.) - Microfone mutado, Audio desmutado
19. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
20. 🍭 Morke | AceitaQDoiMenos (o_morke) - Microfone mutado, Audio desmutado
21. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
22. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone mutado, Audio mutado
23. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
24. 🍭 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
25. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
26. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
27. 🍭 RadiX | RadiX (.radixx.) - Microfone desmutado, Audio desmutado
28. 🍭 Sagrath | Sagrath (_sagrath) - Microfone desmutado, Audio desmutado
29. 🍭 SantanaGLS90 | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
30. 🍭 Skito | Etheriya (srmuskito) - Microfone mutado, Audio desmutado
31. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
32. 🍭 Stazz | Stazz (.guilhermebuzatto) - Microfone desmutado, Audio desmutado
33. 🍭 Styvel | Bakee (styvel) - Microfone desmutado, Audio desmutado
34. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
35. 🍭 VoyageSPORT94 | McLahnNovame… (guirabisca) - Microfone mutado, Audio desmutado
36. 🍭 XIZO | Pardinho (xizopardinho) - Microfone desmutado, Audio desmutado
37. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
