Lista: GvG 18-03
Canal: 💣 | SEXO
Responsável: 👼 Meriove - (meriove)

1. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
2. 🍭 Azhyel | Bewar (azhyel) - Microfone mutado, Audio desmutado
3. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
4. 🍭 Banguelito | KunoHa (afo.) - Microfone mutado, Audio desmutado
5. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
6. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
7. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
8. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
9. 🍭 Commander | Commander (commander1919) - Microfone desmutado, Audio desmutado
10. 🍭 ComunistaDoBDO | RecebaPican… (julinha0123) - Microfone mutado, Audio desmutado
11. 🍭 Demonike | KanohAgito (rianxz) - Microfone mutado, Audio desmutado
12. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
13. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
14. 🍭 GenGen | Genanatwob (gen0382) - Microfone desmutado, Audio desmutado
15. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
16. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
17. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
18. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
19. 🍭 Hammysz | Hammysz (hammysz) - Microfone mutado, Audio desmutado
20. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
21. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
22. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
23. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
24. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone desmutado, Audio desmutado
25. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
26. 🍭 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
27. 🍭 Lord | Mystic (lord._.) - Microfone mutado, Audio desmutado
28. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
29. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone mutado, Audio desmutado
30. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
31. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
32. 🍭 Milkcup | Mizie (miziee) - Microfone mutado, Audio desmutado
33. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
34. 🍭 Ninon | Ninon (lala.anya) - Microfone mutado, Audio desmutado
35. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
36. 🍭 Rabbit | Rabbit (rrabbit_) - Microfone mutado, Audio desmutado
37. 🍭 RadiX | RadiX (.radixx.) - Microfone mutado, Audio desmutado
38. 🍭 SantanaGLS90 | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
39. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
40. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone desmutado, Audio desmutado
41. 🍭 Shaoster | Kaween (shaoster) - Microfone mutado, Audio desmutado
42. 🍭 SkePz | Yskepz (skepzoficial) - Microfone mutado, Audio desmutado
43. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
44. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
45. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
46. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
47. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
48. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
49. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
50. 🍭 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
51. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
52. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
