Lista: GvG 20/01
Canal: 💣 | GvG
Responsável: 🧑🎄 LagSwitch | Manifest - (marsecolor)

1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 AquaHoshino | Xiaoying (_vanyar) - Microfone desmutado, Audio desmutado
5. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
6. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
7. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
9. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
10. 🍭 DRKGOD | FafnirDmK (drkgodk) - Microfone mutado, Audio desmutado
11. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
12. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
13. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
14. 🍭 FORDS | FORDS (marinheiro.) - Microfone mutado, Audio desmutado
15. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
16. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
17. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
18. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
19. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
20. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
21. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
22. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
23. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
24. 🍭 Jazzsz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
25. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
