Lista: GvG 21/01
Canal: 🏹 | Gank
Responsável: 🧑🎄 LagSwitch | Manifest - (marsecolor)

1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
5. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
6. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone desmutado, Audio desmutado
7. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
9. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
10. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
11. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
12. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
13. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
14. 🍭 Eternalzerker | Radf (radf) - Microfone mutado, Audio desmutado
15. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
16. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
17. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
18. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
19. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
20. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
21. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
22. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
23. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
24. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
25. 🍭 Luffy | Davi (d.a.v.i.) - Microfone desmutado, Audio desmutado
26. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
27. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
28. 🍭 MichelKings | MiichellKings (michel5356) - Microfone desmutado, Audio desmutado
29. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
30. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
31. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
32. 🍭 NtPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
33. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
34. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
35. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
36. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
37. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone desmutado, Audio desmutado
38. 🍭 Sipher | Siphern (.sipher) - Microfone mutado, Audio desmutado
39. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
40. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
41. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
42. 🍭 Wipe | Confusion (frostezinho) - Microfone mutado, Audio desmutado
43. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
44. 👼 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
45. 👼 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
46. 👼 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
47. 👼 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone mutado, Audio desmutado
48. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
49. 👼 Ninon (lala.anya) - Microfone desmutado, Audio desmutado
50. 👼 RadiX (.radixx.) - Microfone desmutado, Audio desmutado
51. 👼 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
52. 👼 Vnbz | Bunnit (seaside2) - Microfone desmutado, Audio desmutado
53. 👼 Ziccon (ziccon) - Microfone desmutado, Audio desmutado
54. 👼Skito (srmuskito) - Microfone mutado, Audio desmutado
55. 👼Soaria (sams_z) - Microfone desmutado, Audio desmutado
