Lista: GvG 24/02
Canal: 💣 | SEXO
Responsável: 👼 Meriove - (meriove)

1. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
2. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
3. 🍭 Artini | Shoi (uzuki.tan) - Microfone mutado, Audio desmutado
4. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
5. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
6. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
7. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
8. 🍭 Bjron | SraYennefer (gynshirako) - Microfone desmutado, Audio desmutado
9. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
10. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
11. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
12. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone mutado, Audio desmutado
13. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
14. 🍭 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
15. 🍭 ComunistaDoBDO | ComunaDoBDO (julinha0123) - Microfone mutado, Audio desmutado
16. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
17. 🍭 DeusTorresmo | SrtaCupCake (otodogorduroso) - Microfone mutado, Audio desmutado
18. 🍭 Digas | ComQuemAndas (digas5091) - Microfone desmutado, Audio desmutado
19. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
20. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
21. 🍭 FORDS | FORDS (marinheiro.) - Microfone mutado, Audio desmutado
22. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
23. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
24. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
25. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
26. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
27. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
28. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
29. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
30. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
31. 🍭 Heaven | AllElements (in_heaven) - Microfone mutado, Audio desmutado
32. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
33. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
34. 🍭 Indieage | Dragonetto (indieage) - Microfone desmutado, Audio desmutado
35. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
36. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
37. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
38. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
39. 🍭 Kmimo | Mimim (kmimo) - Microfone desmutado, Audio desmutado
40. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
41. 🍭 Kyumi | Sorc001 (kyumi_) - Microfone mutado, Audio desmutado
42. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone desmutado, Audio desmutado
43. 🍭 LeitinhoDe_Mae | ShaiDawn (juninho5533) - Microfone mutado, Audio desmutado
44. 🍭 Lemrok | IMomoAyaseI (_kormel) - Microfone mutado, Audio desmutado
45. 🍭 Lodbrook | VarayAura (adcpcaodejinx) - Microfone mutado, Audio desmutado
46. 🍭 Lord | Mystic (lord._.) - Microfone mutado, Audio desmutado
47. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone mutado, Audio desmutado
48. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
49. 🍭 MichelKings | MiichellKings (michel5356) - Microfone mutado, Audio desmutado
50. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
51. 🍭 Milkcup | Mizie (miziee) - Microfone mutado, Audio desmutado
52. 🍭 Mione | Anne_Shr (mioone) - Microfone mutado, Audio desmutado
53. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
54. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
55. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
56. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
57. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
58. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio mutado
59. 🍭 PKD | LittleBrick1 (jantaresx) - Microfone mutado, Audio desmutado
60. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
61. 🍭 Pdlul | Nyterian (pdlul) - Microfone mutado, Audio desmutado
62. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone desmutado, Audio desmutado
