Lista: Raid 4
Canal: 🔉｜nodeing
Responsável: 👼 Meriove - (meriove)

1. 🍬 Commander | Commander (commander1919) - Microfone desmutado, Audio desmutado
2. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
3. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
4. 🍭 EverAway | WhimeIash (emizao) - Microfone desmutado, Audio desmutado
5. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone desmutado, Audio desmutado
6. 🍭 Kyumi | Sorc001 (kyumi_) - Microfone desmutado, Audio desmutado
7. 🍭 Lord | Awakening (lord._.) - Microfone desmutado, Audio desmutado
8. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
9. 🍭 RAULBIGODE | Zels (zels_) - Microfone desmutado, Audio desmutado
10. 🍭 SaveiroSUMMER96 | MuichiroTo… (inlove_html) - Microfone desmutado, Audio desmutado
11. 🍭 Tarly | Aelflaed (.tarly) - Microfone desmutado, Audio desmutado
12. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
13. 🍭 XIZO | Pardinho (xizopardinho) - Microfone desmutado, Audio desmutado
14. 🍭 Xr | Bxx (bxr7330) - Microfone mutado, Audio desmutado
15. 👼 Malenia | Mitsuri (mitsurixz) - Microfone mutado, Audio mutado
16. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
17. 👼 Mimim (kmimo) - Microfone desmutado, Audio desmutado
18. 👼 Neah (neah.campbell) - Microfone mutado, Audio mutado
19. 👼 Ninon (lala.anya) - Microfone desmutado, Audio desmutado
20. 👼 RadiX (.radixx.) - Microfone desmutado, Audio desmutado
21. 👼 Vnbz | Bunnit (seaside2) - Microfone mutado, Audio mutado
22. 👼 Ziccon (ziccon) - Microfone mutado, Audio desmutado
23. 👼Skito (srmuskito) - Microfone desmutado, Audio desmutado
