Lista: GvG 27-02 tungrad
Canal: 💣 | SEXO
Responsável: 👼 Meriove - (meriove)

1. 🍭 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
2. 🍭 Artini | Shoi (uzuki.tan) - Microfone mutado, Audio desmutado
3. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
4. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
5. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone mutado, Audio desmutado
6. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
7. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
8. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
9. 🍭 ChrimSoNs | DoosaDeeP (chrimsonschrim) - Microfone mutado, Audio desmutado
10. 🍭 Commander | Commander (commander1919) - Microfone desmutado, Audio desmutado
11. 🍭 ComunistaDoBDO | ComunaDoBDO (julinha0123) - Microfone mutado, Audio desmutado
12. 🍭 CorsaGSI97 | Corsa97 (bielzera5345) - Microfone mutado, Audio desmutado
13. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
14. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
15. 🍭 DmLiant | Confused (dmliant) - Microfone mutado, Audio desmutado
16. 🍭 DonFerretti | Mikyou (donferretti) - Microfone mutado, Audio desmutado
17. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
18. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
19. 🍭 FleurIncarnat | Nadheri (loky909) - Microfone mutado, Audio desmutado
20. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
21. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
22. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
23. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
24. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
25. 🍭 Hammysz | Hammysz (hammysz) - Microfone mutado, Audio desmutado
26. 🍭 Heaven | AllElements (in_heaven) - Microfone desmutado, Audio desmutado
27. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
28. 🍭 Imperatrice | Callidora (cleopatracalli) - Microfone mutado, Audio desmutado
29. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
30. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
31. 🍭 Jazzjazz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
32. 🍭 Juneca | Pitador (juneca) - Microfone mutado, Audio desmutado
33. 🍭 Kazuho | KazuH0 (_kazuho) - Microfone mutado, Audio desmutado
34. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone desmutado, Audio desmutado
35. 🍭 Kmimo | Mimim (kmimo) - Microfone desmutado, Audio desmutado
36. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
37. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
38. 🍭 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
39. 🍭 Lodbrook | VarayAura (adcpcaodejinx) - Microfone mutado, Audio desmutado
40. 🍭 Lord | Mystic (lord._.) - Microfone mutado, Audio desmutado
41. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
42. 🍭 Luquinha | Dsync1 (luquinhahahaha) - Microfone mutado, Audio mutado
43. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
44. 🍭 Maik | Maikk (maikk_) - Microfone desmutado, Audio desmutado
45. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
46. 🍭 MichelKings | MiichellKings (michel5356) - Microfone mutado, Audio desmutado
47. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone mutado, Audio desmutado
48. 🍭 Mione | Anne_Shr (mioone) - Microfone mutado, Audio desmutado
49. 🍭 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
50. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
51. 🍭 Ninon | Ninon (lala.anya) - Microfone mutado, Audio desmutado
52. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
53. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
54. 🍭 OCorrupto | RayGuerra (donno.cda) - Microfone mutado, Audio desmutado
55. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
56. 🍭 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
57. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
58. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
59. 🍭 RAULBIGODE | Zels (zels_) - Microfone mutado, Audio desmutado
60. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
61. 🍭 RadiX | RadiX (.radixx.) - Microfone mutado, Audio desmutado
62. 🍭 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
63. 🍭 SaveiroSUMMER96 | MuichiroTo… (inlove_html) - Microfone mutado, Audio desmutado
64. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
65. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
66. 🍭 Shaoster | Kaween (shaoster) - Microfone mutado, Audio desmutado
67. 🍭 SkePz | Yskepz (skepzoficial) - Microfone mutado, Audio desmutado
68. 🍭 Skito | Etheriya (srmuskito) - Microfone mutado, Audio desmutado
69. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
70. 🍭 Stazz | Stazz (.guilhermebuzatto) - Microfone mutado, Audio mutado
71. 🍭 TOTI | Tahaz (totitaz) - Microfone desmutado, Audio desmutado
72. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
73. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
74. 🍭 ThePhysicist | MinhocaUhHaha (galzuu) - Microfone mutado, Audio desmutado
75. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
76. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
77. 🍭 Vaenrre | Vaenrre (cantinero.) - Microfone desmutado, Audio desmutado
78. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
79. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
80. 🍭 VoyageSPORT94 | McLahnNovame… (guirabisca) - Microfone mutado, Audio desmutado
81. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
82. 🍭 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
83. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
84. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
