Lista: PVP 31-01- NAXION
Canal: 💣 | GvG
Responsável: 👼 Neah - (neah.campbell)

1. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
2. 🍭 Artini | Shiraneko (uzuki.tan) - Microfone mutado, Audio desmutado
3. 🍭 AstraGLS95 | SeveMeGu (sevegod) - Microfone mutado, Audio desmutado
4. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone mutado, Audio desmutado
5. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone desmutado, Audio desmutado
6. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
7. 🍭 Batkillua | Batkillua (batkillua) - Microfone mutado, Audio desmutado
8. 🍭 Bjron | SraYennefer (gynshirako) - Microfone desmutado, Audio desmutado
9. 🍭 Bloodtaker | Lari (tsmlari) - Microfone mutado, Audio desmutado
10. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
11. 🍭 CirocaPolossal | Contempt (sabonetecompelo) - Microfone desmutado, Audio desmutado
12. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
13. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
14. 🍭 Edu | Uryu (_.edu) - Microfone mutado, Audio desmutado
15. 🍭 Fenomenoide | Calipsoo (fenomenoide) - Microfone desmutado, Audio desmutado
16. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
17. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
18. 🍭 GatitaTiesa | Super_Shaiffle (princesa_waffle) - Microfone mutado, Audio desmutado
19. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
20. 🍭 Gilldartz | Prominent (gildartz) - Microfone mutado, Audio desmutado
21. 🍭 Goushin | Hanchok (goushin) - Microfone mutado, Audio desmutado
22. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
23. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
24. 🍭 Hilzu | LaraHz (bagatoli.) - Microfone desmutado, Audio desmutado
25. 🍭 ISURUS | Isurss (isurus) - Microfone mutado, Audio desmutado
26. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
27. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
28. 🍭 Jazzsz | SoundTeMP (jazzjazzjazzjazz) - Microfone mutado, Audio desmutado
29. 🍭 Jobforever | JobForPopotu (job2465) - Microfone mutado, Audio desmutado
30. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
31. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
32. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
33. 🍭 Morke | AceitaQDoiMenos (o_morke) - Microfone mutado, Audio desmutado
34. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
35. 🍭 NotPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
36. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
37. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
38. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
39. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
40. 🍭 SwordUnforgiven | NanoMachine (sword0715) - Microfone mutado, Audio desmutado
41. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
42. 🍭 ThePhysicist | ShootDown (galzuu) - Microfone mutado, Audio desmutado
43. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
44. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
45. 👼 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
46. 👼 Heaven (in_heaven) - Microfone desmutado, Audio desmutado
47. 👼 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
48. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
49. 👼 Mitsuri | Malenia (mitsurixz) - Microfone desmutado, Audio desmutado
50. 👼 Neah (neah.campbell) - Microfone desmutado, Audio desmutado
51. 👼 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
52. 👼Skito (srmuskito) - Microfone mutado, Audio desmutado
53. 👼Soaria (sams_z) - Microfone mutado, Audio desmutado
